date,username,tweet_en,Subjectivity,Polarity,TextBlob
2022-10-05 12:21:14,jeslintuse2,East Nusa Tenggara Government Ensures that all hotels in Bali are ready to welcome the G20 G20Indonesia RecovertherrecoversTronger G20Indonesia2022 GroupoftwentyIndonesia,0.7,0.5,Positive
2022-10-05 12:17:55,usharanimuni,The government makes sure the hotel in Bali is ready to welcome the Bangka Belitung G20Indonesia RecovertherrecoversTronger G20Indonesia2022 GroupoftwentyIndonesia Islands Summit,0.762962962962963,0.5,Positive
2022-10-05 12:13:03,diaharmayanti1,The government makes sure the hotel in Bali is ready to welcome the G20 G20Indonesia RecovertherrecoversTronger G20Indonesia2022 GroupoftwentyIndonesia,0.762962962962963,0.5,Positive
2022-10-05 12:12:31,SeptianiMestika,Bali Compendium will be brought by Indonesia to the G20 Summit in November as one of the deliverses in the president of G20 Indonesia Arsjad Rasjid B20 Arsjadrasjid KOMPENDIUMBALIUMBALABORATIVE,0.0,0.0,Neutral
2022-10-05 12:11:59,diaharmayanti1,Indonesian telecommunications network readiness to face Summit G20 Bali Indonesia Indonesia Recovertogetherrecoverstronar G2022 GroupoftwentyIndonesia,0.0,0.0,Neutral
2022-10-05 12:09:17,NovitaZara1,Bali Compendium will be brought by Indonesia to the G20 Summit in November as one of the deliverses in the president of G20 Indonesia Arsjad Rasjid B20 Arsjadrasjid KOMPENDIUMBALIUMBALABORATIVE,0.0,0.0,Neutral
2022-10-05 12:06:58,plat_mirah,GOOD GOVERNMENT Ensures that all hotels in Bali are ready to welcome the delegation of the G20 SMiling Face Open Hands Smiling Face Open Hands Monaco Monaco Monaco Bangka Belitung G20Indonesia Recovertherrecoverstonger G2022 GroupoftwentyIndonesia,0.6,0.33999999999999997,Positive
2022-10-05 12:02:57,verryprimatama1,Hotels in Bali Ready to Welcome Summit G20 G20Indonesia Recovertogetherrecoverstronger G20Indonesia2022 GroupoftwentyIndonesia West Java,0.7,0.5,Positive
2022-10-05 12:02:16,CryptoKuta,"Minister of Communication and Information Johnny Not Plate Kemkominfo has prepared Media Center Summit G20 with a capacity for 1 500 media centers located at BICC Hotel Westin Nusa Dua Bali and will operate starting on the 13th of November 17, 2022",0.06666666666666667,-0.03333333333333333,Negative
2022-10-05 12:00:00,sadidawoaini,The government through Menparekraf Sandiaga Uno ensures that hotels in Bali are ready to welcome the G20 G20Indonesia RecovertherrecoversTronar G20Indonesia2022 GroupoftwentyIndonesia,0.7,0.5,Positive
2022-10-05 11:58:44,KekeCook2,The readiness of the Indonesian telecommunications network to face the G20 Summit in Bali G20Indonesia Recovertogetherrecoverstronar G20Indonesia2022 GroupoftwentyIndonesia West Java,0.0,0.0,Neutral
2022-10-05 11:58:21,ErinNelson011,Minister of Tourism and Creative Economy Sandiaga Uni ensured that the preparation of hotels in Bali ahead of the peak of the G20 Summit was in accordance with the G20Indonesia RecovertogerrecoversTronar G20Indonesia2022 GroupoftwentyIndonesia West Java,1.0,0.5,Positive
2022-10-05 11:51:04,wiggins_eko,the government makes sure the hotel in Bali is ready to Sambtu Summit G20 G20Indonesia Recovertogerrecoverstronger G20Indonesia2022 GroupoftwentyIndonesia West Java,0.6944444444444444,0.35,Positive
2022-10-05 11:50:28,DanangBarrera,The readiness of the Indonesian telecommunications network to face the G20 BaliIndonesia Recovertherrecoverstronar G20Indonesia2022 Groupoftwentyindonesia Indonesia Summit,0.0,0.0,Neutral
2022-10-05 11:50:12,friska_diane,Government of Pstikan Hotels in Bali Sip Welcoming Summit G20 Special Region of Yogyakarta G20 Yogyakarta G20Indonesia Recovertogerrecoverstronger G20Indonesia2022 GroupoftwentyIndonesia,0.5714285714285714,0.35714285714285715,Positive
2022-10-05 11:50:09,friska_diane,The readiness of the Indonesian telecommunications network to face the G20 Bali Summit Special Region of Yogyakarta G20 Yogyakarta G20Indonesia RecovertogetherRecoversTronger G20Indonesia2022 GroupoftwentyIndonesia,0.5714285714285714,0.35714285714285715,Positive
2022-10-05 11:44:31,Zyanpatra,Luhut Pandjaitan's orders in Bali firmly invited local drivers to be involved in the G20 Summit,0.2,-0.1,Negative
2022-10-05 11:41:58,Tahede55,The government makes sure the hotel in Bali is ready to Sambuy KTT G20 Indonesia ready to host the G20 G20Indonesia RecovertogerrecoversTronger G20Indonesia2022 Gorontalo GroupoftwentyIndonesia,0.6296296296296297,0.3,Positive
2022-10-05 11:40:05,jpnncom,Order Coordinating Minister Marves Luhut Pandjaitan in Bali firmly invited local drivers to take advantage by being involved in the G20 Luhutpandjaitan Summit,0.2,-0.1,Negative
2022-10-05 11:28:40,febipondo,The government is sure the hotel in Bali is ready to welcome the East Nusa Tenggara G20Indonesia G20Indonesia RecovertherrecoversTronger G20Indonesia2022 GroupoftwentyIndonesia,0.762962962962963,0.5,Positive
2022-10-05 11:21:56,amin_richmen,The Aceh News Telecommunications Network will be prepared to welcome the G20 Summit in Bali G20Indonesia Recovertogetherrecoverstronger G20Indonesia2022 GroupoftwentyIndonesia,0.9,0.8,Positive
2022-10-05 11:17:05,pak_jayaa,The Aceh Telecommunications Network Update will be prepared to welcome the G20 Summit in Bali G20Indonesia Recovertogetherrecoverstronger G20Indonesia2022 GroupoftwentyIndonesia,0.9,0.8,Positive
2022-10-05 11:09:15,kurniayy,Preparation for the G20 Menko Luhut Summit asked schools and offices in Bali WFH,0.0,0.0,Neutral
2022-10-05 11:00:01,WartaEkonomi,Menko Luhut Reviewing the G20 Summit Venue in Bali,0.0,0.0,Neutral
2022-10-05 10:59:11,faktualid_com,Sandiaga Uno Preparation for Bali Welcome 50 00 Delegations and Guest Glight G20 Almost Reach the Culmination Point of Sandiagauno G20Indonesia,0.9,0.8,Positive
2022-10-05 10:58:48,anastasyameira1,The readiness of the Indonesian telecommunications network to face the G20 Bali Summit is ready to support West Nusa Tenggara G20Indonesia Recovertogerrecoverstronger G20Indonesia2022 GroupoftwentyIndonesia,0.5,0.2,Positive
2022-10-05 10:58:07,anastasyameira1,The government is sure the hotel in Bali is ready to welcome the West Nusa Tenggara G20Indonesia RecovertherrecoversTronger G20Indonesia2022 GroupoftwentyIndonesia,0.762962962962963,0.5,Positive
2022-10-05 10:56:52,voidotid,Head of BNPB Lt. Gen. Suharyanto ensured readiness in dealing with potential disasters during the G20 Summit in Bali,1.0,0.0,Neutral
2022-10-05 10:47:15,detikTravel,Preparation for the G20 Menko Luhut Summit asked schools and offices in Bali WFH,0.0,0.0,Neutral
2022-10-05 10:39:54,InfoPublikIP,Ahead of the G20 Summit high level conference which will take place in Bali on 15 November 2022 continues to improve the quality of telecommunications networks at the location of the event,0.5399999999999999,0.16,Positive
2022-10-05 10:38:06,InfoPublikIP,Visit to Bali Coordinating Minister Marves Review the Indonesian Summit Venue,0.0,0.0,Neutral
2022-10-05 10:27:16,nawacitadotco,Menkominfo 1 337 Journalists have registered to cover the G20 Summit in Bali,0.0,0.0,Neutral
2022-10-05 10:27:14,nawacitamedia,Menkominfo 1 337 Journalists have registered to cover the G20 Summit in Bali,0.0,0.0,Neutral
2022-10-05 10:27:11,NAWACIT4,Menkominfo 1 337 Journalists have registered to cover the G20 Summit in Bali,0.0,0.0,Neutral
2022-10-05 10:25:41,CEOfficialID,Luhut ordered schools and offices in Bali to apply WFH during the G20 Summit,0.0,0.0,Neutral
2022-10-05 10:14:20,mwlorg_id,The meeting witnessed the election of Ligamuslimdunia to participate in the R20 Religious Summit the first time became a participatory working group at the G20 Summit on November 2 3 in Bali Indonesia with the participation of leaders in intellectual religious dialogue,0.30833333333333335,0.1375,Positive
2022-10-05 10:06:00,Salshab65173582,The government continues to finalize the preparation of the highlight of the G20 Summit event scheduled in Bali on 15 November 1622 Indonesia's Mergekulih TNI is the Mariberin investmentIndiIndonesia Dirgahayu TNI Army,0.0,0.0,Neutral
2022-10-05 09:40:40,jokowipejuangID,The government ensures that all hotels in Bali are ready to welcome the G20 Summit starting from Hotels Hotels scattered in Nusa Dua and several other areas are also ready to welcome the G20 Summit and ready to succeed in the Japanese Mandala Krida G20 Summit in the door of 13 Jokowipresidenku Jokowihebat,0.41944444444444445,0.23055555555555557,Positive
2022-10-07 06:23:02,tauberitamedia,The Ministry of Health continues to finalize health services ahead of the implementation of the G20 Summit High Level Conference in Bali next November,0.26999999999999996,0.08,Positive
2022-10-07 06:09:36,nolantv_com,The G20 Summit in Bali has become a promotional event for MSME products to the latest world level Bali News,0.9,0.5,Positive
2022-10-07 06:06:06,tvOneNews,Kakorlantas Polri Ensure that personnel are ready to secure the route and event of the G20 Bali Summit,0.55,0.30000000000000004,Positive
2022-10-07 06:00:01,Nova8Chika,in the approaching the G20 Summit in Bali the government made preparations in various sectors of the economy optimization.,0.25,0.0,Neutral
2022-10-07 06:00:00,AmarthaSefrian,The government ensures the readiness of health services for the G20 Summit participants in Bali is optimal for the economy to strengthen prokesbooster.,0.0,0.0,Neutral
2022-10-07 05:17:51,syamsuladzic,Summit C20 Achieves Agreement to Highlight the G20 which is still split between News Bali,0.0,0.0,Neutral
2022-10-07 04:33:41,TabananHumas,The Role of Public Relations of the Bali Regional Police is the spearhead of the information on the implementation of the G20 Summit which is precision of the public relations is a section or organization that functions to establish communication and cooperation with the public as well as related parties such as print media and online media the role of the Bali Police Relations,0.22000000000000003,0.0,Neutral
2022-10-07 04:25:05,tauberitamedia,"President Jokowi reviewed a number of locations supporting the G20 Summit in Bali Jokowi, all of them were almost ready",0.375,0.225,Positive
2022-10-07 03:31:54,SINDOnews,The G20 Summit in Bali has become a promotional event for UMKM products to the world level SINDOnews instead,0.0,0.0,Neutral
2022-10-07 02:19:27,MpokMae,After opening the 3rd WCCE on Thursday 6 October 2022 the President reviewed the construction of road infrastructure in the Nusa Dua area of ​​Badung Regency of Bali Province which will be passed by world leaders who attend the G20 Summit in November,0.0,0.0,Neutral
2022-10-07 02:18:54,GueTionghoa,After opening the 3rd WCCE on Thursday 6 October 2022 the President reviewed the construction of road infrastructure in the Nusa Dua area of ​​Badung Regency of Bali Province which will be passed by world leaders who attend the G20 Summit in November,0.0,0.0,Neutral
2022-10-07 02:18:31,DivaCatrii,After opening the 3rd WCCE on Thursday 6 October 2022 the President reviewed the construction of road infrastructure in the Nusa Dua area of ​​Badung Regency of Bali Province which will be passed by world leaders who attend the G20 Summit in November,0.0,0.0,Neutral
2022-10-07 00:21:04,buana_berita,Jokowi Review Tahura Ngurah Rai Location of the G20 Bali Summit 2022,0.0,0.0,Neutral
2022-10-06 23:48:05,BJKT4Terpercaya,Friend BUMN Green Energy Station GES is ready to serve the delegation of the G20 Summit in Bali in November 2022 Energizingyou GespertaminDukungung20 Pertaminapimimpintransisi Energy,0.4,0.0,Neutral
2022-10-06 23:28:51,BJKT1Terpercaya,Green Energy Station GES is ready to serve the G20 Summit delegates in Bali in November 2022 for the needs of Vehicles G20 activity which mostly uses environmentally friendly energy vehicles Energizingyou GespertaminDukungung20,0.45,0.21875,Positive
2022-10-06 23:27:19,posmetro_padang,ready to succeed in the G20 PLN Summit Targeting the relocation of PLTG Grati to Bali Complete at the end of October,0.45,0.15000000000000002,Positive
2022-10-06 23:09:40,wanara79,Mangrove forests will be the G20 Summit Venue in Bali,0.0,0.0,Neutral
2022-10-06 23:09:38,HanjuangXyz,Mangrove forests will be the G20 Summit Venue in Bali,0.0,0.0,Neutral
2022-10-06 23:04:46,mamavanenbas,"After opening the 3rd World Conference Creative Economy on Thursday 6 October 2022 the President reviewed the construction of road infrastructure in the Nusa Dua area of ​​Badung Regency, Badung Regency, which will be traversed by world leaders who attended the G20 Summit in November 2022",0.5,0.25,Positive
2022-10-06 23:03:02,tauberitamedia,Tito wants to ensure that the construction of the TPST is completed before the G20 Summit High Level Conference which was held in Bali,0.31999999999999995,0.18,Positive
2022-10-05 09:38:32,tempodotco,Coordinating Minister Luhut Binsar Pandjaitan assigns the Bali Provincial Government to reduce community mobilization during the Tempobusiness G20 Summit,0.0,0.0,Neutral
2022-10-05 09:35:42,GNurhazrati,"Indonesia as the holder of the G20 president continues to monitor global developments including the geopolitical situation ahead of the implementation of the G20 Summit which will be held in Bali in November OnePiece1062 Cancer October 5, BTS Army Gryffindor Telkomsel Run BTS",0.0,0.0,Neutral
2022-10-05 09:35:21,IdJurnalis,66 SPKLU specifically prepared to welcome the G20 Summit delegation in Bali,0.9,0.8,Positive
2022-10-05 09:26:41,BumnPsrJitu,"Friend BUMN Green Energy Station GES is ready to serve the G20 Summit delegates in Bali in November 2022 for the needs of G20 activities, mostly using ENERTIZINGYYYYOUT Electric Vehicles GespertaminDukungung20 PertaminPintransisi Energy",0.43333333333333335,0.16666666666666666,Positive
2022-10-05 09:23:26,kalanganiseng,G20Indonesia Government Use electric cars for the G20 Bali Summit through,0.0,0.0,Neutral
2022-10-05 09:21:00,IDNdihatiku,The government ensures that all hotels in Bali are ready to welcome the G20 Summit starting from Hotels Hotels scattered in Nusa Dua and several other areas are also ready to welcome the G20 Summit and ready to succeed in the Japanese Mandala Krida G20 Summit in the door of 13 Jokowipresidenku Jokowihebat,0.41944444444444445,0.23055555555555557,Positive
2022-10-05 09:20:00,rakyatkuatt,The government ensures that all hotels in Bali are ready to welcome the G20 Summit starting from Hotels Hotels scattered in Nusa Dua and several other areas are also ready to welcome the G20 Summit and ready to succeed in the Japanese Mandala Krida G20 Summit in the door of 13 Jokowipresidenku Jokowihebat,0.41944444444444445,0.23055555555555557,Positive
2022-10-05 09:13:48,BUMN_SLWS_TEPAT,Green Energy Station GES is ready to serve the G20 Summit delegates in Bali in November 2022 for the needs of Vehicles G20 activity which mostly uses environmentally friendly energy vehicles Energizingyou GespertaminDukungung20,0.45,0.21875,Positive
2022-10-05 09:08:11,WendyTangmar,additional tragedy for this country how primitive we are all over the world while we are still presented with the 42-bottle-bottled electronic cinema of the G20 Chairman want to taro where the face of the Pak at the Bali Summit was asked by another head of the state to be crowded,0.0,0.0,Neutral
2022-10-05 09:07:04,antarabiz,Review the preparation of the G20 Summit in Bali Luhut is Patent,0.0,0.0,Neutral
2022-10-05 09:06:09,BUMN_Manado_Ayo,Pertamina is ready to serve the G20 Summit delegation in Bali in November 2022 for the needs of electric vehicles in G20 Gespertaminadukungg20 activities,0.5,0.2,Positive
2022-10-05 08:56:57,FaGtng,Telkomsel has prepared a 4G download speed in several regions in Bali to reach 100 Mbps or about 4 times faster than the national download speed all work to succeed the peak event of the G20 Summit,0.0,0.0,Neutral
2022-10-05 08:52:20,Faktorutama,Sandiaga Uno Preparation for Bali Welcome 50 00 Delegations and Guest Glight G20 Almost Reach Culmination Point,0.9,0.8,Positive
